ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
2233565,280,8,49,110,50,48,0,72,0,0
2233565,280,8,50,111,50,48,0,72,0,0
2233575,280,8,35,96,50,48,0,72,0,0
2233595,280,8,37,98,50,48,0,72,0,0
2233605,280,8,38,99,50,48,0,72,0,0
2233605,1021,8,1,0,6,0,0,8,18,128
2233615,280,8,39,100,50,48,0,72,0,0
2233625,280,8,41,102,50,48,0,72,0,0
2233655,280,8,43,104,50,48,0,72,0,0
2233656,1021,8,2,0,0,0,0,0,0,144
2233675,280,8,45,106,50,48,0,72,0,0
2233695,280,8,47,108,50,48,0,72,0,0
2233695,280,8,48,109,50,48,0,72,0,0
2233705,280,8,49,110,50,48,0,72,0,0
2233705,280,8,50,111,50,48,0,72,0,0
2233725,280,8,35,96,50,48,0,72,0,0
2233735,280,8,36,97,50,48,0,72,0,0
2233745,280,8,37,98,50,48,0,72,0,0
2233775,280,8,39,100,50,48,0,72,0,0
2233805,280,8,41,102,50,48,0,72,0,0
2233805,280,8,42,103,50,48,0,72,0,0
2233815,280,8,43,104,50,48,0,72,0,0
2233825,280,8,45,106,50,48,0,72,0,0
2233855,280,8,47,108,50,48,0,72,0,0
2233875,280,8,49,110,50,48,0,72,0,0
2233895,280,8,35,96,50,48,0,72,0,0
2233915,280,8,37,98,50,48,0,72,0,0
2233935,280,8,39,100,50,48,0,72,0,0
2233955,280,8,41,102,50,48,0,72,0,0
2233975,280,8,43,104,50,48,0,72,0,0
2233995,280,8,45,106,50,48,0,72,0,0
2234005,1016,8,3,8,128,0,25,73,20,33
2234005,280,8,47,108,50,48,0,72,0,0
2234025,280,8,49,110,50,48,0,72,0,0
2234045,280,8,50,111,50,48,0,72,0,0
2234055,280,8,35,96,50,48,0,72,0,0
2234075,280,8,37,98,50,48,0,72,0,0
2234095,280,8,39,100,50,48,0,72,0,0
2234095,280,8,40,101,50,48,0,72,0,0
2234095,1021,8,1,0,6,0,0,8,18,128
2234105,280,8,41,102,50,48,0,72,0,0
2234125,280,8,43,104,50,48,0,72,0,0
2234135,280,8,44,105,50,48,0,72,0,0
2234145,280,8,45,106,50,48,0,72,0,0
2234145,1021,8,2,0,0,0,0,0,0,144
2234165,280,8,47,108,50,48,0,72,0,0
2234185,280,8,48,109,50,48,0,72,0,0
2234195,280,8,49,110,50,48,0,72,0,0
2234215,280,8,35,96,50,48,0,72,0,0
2234235,280,8,37,98,50,48,0,72,0,0
2234255,280,8,39,100,50,48,0,72,0,0
2234275,280,8,41,102,50,48,0,72,0,0
2234295,280,8,43,104,50,48,0,72,0,0
2234315,280,8,45,106,50,48,0,72,0,0
2234335,280,8,47,108,50,48,0,72,0,0
2234355,280,8,49,110,50,48,0,72,0,0
2234375,280,8,35,96,50,48,0,72,0,0
2234395,280,8,37,98,50,48,0,72,0,0
2234415,280,8,39,100,50,48,0,72,0,0
2234435,280,8,41,102,50,48,0,72,0,0
2234455,2047,8,1,165,78,67,67,165,84,1
2234455,280,8,43,104,50,48,0,72,0,0
2234475,280,8,45,106,50,48,0,72,0,0
2234495,280,8,47,108,50,48,0,72,0,0
2234515,280,8,49,110,50,48,0,72,0,0
2234535,280,8,35,96,50,48,0,72,0,0
2234555,280,8,37,98,50,48,0,72,0,0
2234555,280,8,38,99,50,48,0,72,0,0
2234575,280,8,39,100,50,48,0,72,0,0
