ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
510375,280,8,175,141,49,16,0,72,0,128
510385,280,8,176,142,49,16,0,72,0,128
510395,280,8,177,143,49,16,0,72,0,128
510395,280,8,162,128,49,16,0,72,0,128
510405,280,8,163,129,49,16,0,72,0,128
510415,280,8,164,130,49,16,0,72,0,128
510435,280,8,165,131,49,16,0,72,0,128
510445,280,8,166,132,49,16,0,72,0,128
510455,280,8,167,133,49,16,0,72,0,128
510455,280,8,168,134,49,16,0,72,0,128
510465,280,8,169,135,49,16,0,72,0,128
510475,280,8,170,136,49,16,0,72,0,128
510485,280,8,171,137,49,16,0,72,0,128
510505,280,8,172,138,49,16,0,72,0,128
510515,280,8,173,139,49,16,0,72,0,128
510525,280,8,174,140,49,16,0,72,0,128
510535,280,8,175,141,49,16,0,72,0,128
510545,280,8,176,142,49,16,0,72,0,128
510545,1021,8,0,0,0,60,32,0,0,128
510545,280,8,177,143,49,16,0,72,0,128
510555,280,8,162,128,49,16,0,72,0,128
510565,280,8,163,129,49,16,0,72,0,128
510585,280,8,164,130,49,16,0,72,0,128
510595,280,8,165,131,49,16,0,72,0,128
510595,1021,8,1,0,6,0,0,8,18,128
510595,280,8,166,132,49,16,0,72,0,128
510595,280,8,167,133,49,16,0,72,0,128
510605,280,8,168,134,49,16,0,72,0,128
510625,280,8,169,135,49,16,0,72,0,128
510645,280,8,170,136,49,16,0,72,0,128
510645,1021,8,2,0,0,0,0,0,0,144
510645,280,8,171,137,49,16,0,72,0,128
510655,280,8,172,138,49,16,0,72,0,128
510665,280,8,173,139,49,16,0,72,0,128
510685,280,8,174,140,49,16,0,72,0,128
510696,280,8,175,141,49,16,0,72,0,128
510705,280,8,176,142,49,16,0,72,0,128
510705,280,8,177,143,49,16,0,72,0,128
510725,280,8,163,129,49,16,0,72,0,128
510745,280,8,164,130,49,16,0,72,0,128
510755,280,8,165,131,49,16,0,72,0,128
510765,280,8,166,132,49,16,0,72,0,128
510765,280,8,167,133,49,16,0,72,0,128
510775,280,8,168,134,49,16,0,72,0,128
510785,280,8,169,135,49,16,0,72,0,128
510805,280,8,170,136,49,16,0,72,0,128
510815,280,8,171,137,49,16,0,72,0,128
510825,280,8,172,138,49,16,0,72,0,128
510825,280,8,173,139,49,16,0,72,0,128
510835,280,8,174,140,49,16,0,72,0,128
510845,280,8,175,141,49,16,0,72,0,128
510855,2047,8,1,165,78,67,67,165,84,1
510855,280,8,176,142,49,16,0,72,0,128
510865,280,8,177,143,49,16,0,72,0,128
510876,280,8,162,128,49,16,0,72,0,128
510895,280,8,163,129,49,16,0,72,0,128
510925,280,8,165,131,49,16,0,72,0,128
510925,280,8,166,132,49,16,0,72,0,128
510935,280,8,167,133,49,16,0,72,0,128
510935,280,8,168,134,49,16,0,72,0,128
510945,280,8,169,135,49,16,0,72,0,128
510955,280,8,170,136,49,16,0,72,0,128
510966,280,8,171,137,49,16,0,72,0,128
510975,280,8,172,138,49,16,0,72,0,128
510985,280,8,173,139,49,16,0,72,0,128
510985,1016,8,3,8,128,0,25,73,20,33
510995,280,8,174,140,49,16,0,72,0,128
511005,280,8,175,141,49,16,0,72,0,128
511025,280,8,176,142,49,16,0,72,0,128
511035,280,8,177,143,49,16,0,72,0,128
511045,280,8,162,128,49,16,0,72,0,128
511055,280,8,163,129,49,16,0,72,0,128
511065,280,8,164,130,49,16,0,72,0,128
511075,280,8,165,131,49,16,0,72,0,128
511085,280,8,166,132,49,16,0,72,0,128
511095,280,8,167,133,49,16,0,72,0,128
511105,280,8,168,134,49,16,0,72,0,128
511115,280,8,169,135,49,16,0,72,0,128
511125,280,8,170,136,49,16,0,72,0,128
511135,280,8,171,137,49,16,0,72,0,128
511145,280,8,172,138,49,16,0,72,0,128
511145,1021,8,2,0,0,0,0,0,0,144
511155,280,8,173,139,49,16,0,72,0,128
511165,280,8,174,140,49,16,0,72,0,128
511165,280,8,175,141,49,16,0,72,0,128
511175,280,8,176,142,49,16,0,72,0,128
511185,280,8,177,143,49,16,0,72,0,128
511205,280,8,162,128,49,16,0,72,0,128
511215,280,8,163,129,49,16,0,72,0,128
511225,280,8,164,130,49,16,0,72,0,128
511225,280,8,165,131,49,16,0,72,0,128
511235,280,8,166,132,49,16,0,72,0,128
511255,280,8,167,133,49,16,0,72,0,128
511265,280,8,168,134,49,16,0,72,0,128
511275,280,8,169,135,49,16,0,72,0,128
511275,280,8,170,136,49,16,0,72,0,128
511285,280,8,171,137,49,16,0,72,0,128
511295,280,8,172,138,49,16,0,72,0,128
511315,280,8,173,139,49,16,0,72,0,128
511325,280,8,174,140,49,16,0,72,0,128
511335,280,8,175,141,49,16,0,72,0,128
511335,280,8,176,142,49,16,0,72,0,128
511345,280,8,177,143,49,16,0,72,0,128
511355,280,8,162,128,49,16,0,72,0,128
511375,280,8,163,129,49,16,0,72,0,128
511385,280,8,164,130,49,16,0,72,0,128
511395,280,8,165,131,49,16,0,72,0,128
511395,280,8,166,132,49,16,0,72,0,128
511405,280,8,167,133,49,16,0,72,0,128
511415,280,8,168,134,49,16,0,72,0,128
511435,280,8,169,135,49,16,0,72,0,128
511445,280,8,170,136,49,16,0,72,0,128
511455,280,8,171,137,49,16,0,72,0,128
511455,280,8,172,138,49,16,0,72,0,128
511465,280,8,173,139,49,16,0,72,0,128
511475,280,8,174,140,49,16,0,72,0,128
511495,280,8,175,141,49,16,0,72,0,128
511505,280,8,176,142,49,16,0,72,0,128
511515,280,8,177,143,49,16,0,72,0,128
511515,280,8,162,128,49,16,0,72,0,128
511525,280,8,163,129,49,16,0,72,0,128
511535,280,8,164,130,49,16,0,72,0,128
511535,1021,8,0,0,0,60,32,0,0,128
511555,280,8,165,131,49,16,0,72,0,128
511565,280,8,166,132,49,16,0,72,0,128
511575,280,8,167,133,49,16,0,72,0,128
511575,280,8,168,134,49,16,0,72,0,128
511585,280,8,169,135,49,16,0,72,0,128
511585,1021,8,1,0,6,0,0,8,18,128
511585,280,8,170,136,49,16,0,72,0,128
511605,280,8,171,137,49,16,0,72,0,128
511625,280,8,172,138,49,16,0,72,0,128
511635,280,8,173,139,49,16,0,72,0,128
511645,280,8,174,140,49,16,0,72,0,128
