ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1181593,280,8,214,104,85,48,0,200,8,0
1181595,280,8,216,106,85,48,0,200,8,0
1181605,280,8,217,107,85,48,0,200,8,0
1181615,280,8,219,109,85,48,0,200,8,0
1181635,280,8,220,110,85,48,0,200,8,0
1181645,280,8,221,111,85,48,0,200,8,0
1181665,280,8,207,97,85,48,0,200,8,0
1181675,280,8,208,98,85,48,0,200,8,0
1181695,280,8,210,100,85,48,0,200,8,0
1181695,280,8,211,101,85,48,0,200,8,0
1181705,1016,8,3,8,128,0,25,73,20,33
1181715,280,8,213,103,85,48,0,200,8,0
1181735,280,8,214,104,85,48,0,200,8,0
1181745,280,8,215,105,85,48,0,200,8,0
1181765,280,8,217,107,85,48,0,200,8,0
1181765,1021,8,0,0,0,60,32,0,0,128
1181765,280,8,218,108,85,48,0,200,8,0
1181785,280,8,220,110,85,48,0,200,8,0
1181805,280,8,221,111,85,48,0,200,8,0
1181805,1021,8,1,0,6,0,0,8,18,128
1181805,280,8,206,96,85,48,0,200,8,0
1181815,280,8,207,97,85,48,0,200,8,0
1181825,280,8,208,98,85,48,0,200,8,0
1181855,280,8,209,99,85,48,0,200,8,0
1181865,280,8,210,100,85,48,0,200,8,0
1181875,280,8,211,101,85,48,0,200,8,0
1181875,280,8,212,102,85,48,0,200,8,0
1181885,280,8,213,103,85,48,0,200,8,0
1181895,280,8,214,104,85,48,0,200,8,0
1181905,280,8,215,105,85,48,0,200,8,0
1181925,280,8,216,106,85,48,0,200,8,0
1181925,280,8,217,107,85,48,0,200,8,0
1181935,280,8,218,108,85,48,0,200,8,0
1181945,280,8,219,109,85,48,0,200,8,0
1181945,280,8,220,110,85,48,0,200,8,0
1181965,280,8,221,111,85,48,0,200,8,0
1181965,280,8,206,96,85,48,0,200,8,0
1181995,280,8,208,98,85,48,0,200,8,0
1182015,280,8,209,99,85,48,0,200,8,0
1182015,280,8,210,100,85,48,0,200,8,0
1182025,280,8,211,101,85,48,0,200,8,0
1182035,280,8,212,102,85,48,0,200,8,0
1182045,280,8,213,103,85,48,0,200,8,0
1182105,280,8,215,105,85,48,0,200,8,0
1182115,280,8,216,106,85,48,0,200,8,0
1182115,905,8,0,24,0,96,0,128,255,131
1182117,280,8,217,107,85,48,0,200,8,0
1182135,280,8,206,96,85,48,0,200,8,0
1182167,280,8,208,98,85,48,0,200,8,0
1182168,280,8,209,99,85,48,0,200,8,0
1182168,280,8,210,100,85,48,0,200,8,0
1182175,280,8,212,102,85,48,0,200,8,0
1182205,280,8,213,103,85,48,0,200,8,0
1182225,280,8,214,104,85,48,0,200,8,0
1182225,280,8,215,105,85,48,0,200,8,0
1182225,280,8,216,106,85,48,0,200,8,0
1182245,280,8,218,108,85,48,0,200,8,0
1182265,1021,8,0,0,0,60,32,0,0,128
1182265,280,8,220,110,85,48,0,200,8,0
1182309,280,8,221,111,85,48,0,200,8,0
1182309,280,8,206,96,85,48,0,200,8,0
1182335,280,8,207,97,85,48,0,200,8,0
1182375,280,8,213,103,85,48,0,200,8,0
1182385,280,8,214,104,85,48,0,200,8,0
1182385,905,8,0,24,0,96,0,128,31,163
1182385,280,8,216,106,85,48,0,200,8,0
1182395,280,8,217,107,85,48,0,200,8,0
1182415,280,8,218,108,85,48,0,200,8,0
1182425,280,8,219,109,85,48,0,200,8,0
1182445,280,8,221,111,85,48,0,200,8,0
1182455,280,8,206,96,85,48,0,200,8,0
1182475,280,8,208,98,85,48,0,200,8,0
1182485,2047,8,6,88,55,91,7,176,204,200
1182485,280,8,209,99,85,48,0,200,8,0
1182485,280,8,210,100,85,48,0,200,8,0
1182495,280,8,211,101,85,48,0,200,8,0
1182505,280,8,212,102,85,48,0,200,8,0
1182525,280,8,213,103,85,48,0,200,8,0
1182535,280,8,214,104,85,48,0,200,8,0
1182555,280,8,215,105,85,48,0,200,8,0
1182565,280,8,216,106,85,48,0,200,8,0
1182585,280,8,218,108,85,48,0,200,8,0
1182595,280,8,219,109,85,48,0,200,8,0
1182595,280,8,220,110,85,48,0,200,8,0
1182605,280,8,221,111,85,48,0,200,8,0
1182615,280,8,206,96,85,48,0,200,8,0
1182625,280,8,207,97,85,48,0,200,8,0
1182645,280,8,208,98,85,48,0,200,8,0
1182655,280,8,209,99,85,48,0,200,8,0
1182655,280,8,210,100,85,48,0,200,8,0
1182675,280,8,212,102,85,48,0,200,8,0
1182675,905,8,0,24,0,224,0,128,47,51
1182675,280,8,213,103,85,48,0,200,8,0
1182675,2047,8,8,128,68,0,144,98,20,48
1182695,280,8,215,105,85,48,0,200,8,0
1182725,1016,8,3,8,128,0,25,73,20,33
1182725,280,8,216,106,85,48,0,200,8,0
1182735,280,8,217,107,85,48,0,200,8,0
1182745,280,8,218,108,85,48,0,200,8,0
1182755,280,8,219,109,85,48,0,200,8,0
1182765,280,8,220,110,85,48,0,200,8,0
1182785,280,8,206,96,85,48,0,200,8,0
1182795,280,8,207,97,85,48,0,200,8,0
1182805,280,8,208,98,85,48,0,200,8,0
1182815,280,8,209,99,85,48,0,200,8,0
1182815,1021,8,1,0,6,0,0,8,18,128
1182815,280,8,210,100,85,48,0,200,8,0
1182815,280,8,211,101,85,48,0,200,8,0
1182825,280,8,212,102,85,48,0,200,8,0
1182835,280,8,213,103,85,48,0,200,8,0
1182865,280,8,214,104,85,48,0,200,8,0
1182865,1021,8,2,0,0,0,0,0,0,144
1182865,280,8,215,105,85,48,0,200,8,0
1182875,280,8,216,106,85,48,0,200,8,0
1182885,2047,8,1,165,78,67,67,165,84,1
1182885,280,8,218,108,85,48,0,200,8,0
1182905,280,8,219,109,85,48,0,200,8,0
1182915,280,8,220,110,85,48,0,200,8,0
1182925,280,8,221,111,85,48,0,200,8,0
1182925,280,8,206,96,85,48,0,200,8,0
1182945,280,8,207,97,85,48,0,200,8,0
1182955,280,8,208,98,85,48,0,200,8,0
1182985,280,8,210,100,85,48,0,200,8,0
1182995,280,8,211,101,85,48,0,200,8,0
1182995,280,8,212,102,85,48,0,200,8,0
1182995,280,8,213,103,85,48,0,200,8,0
1182995,280,8,214,104,85,48,0,200,8,0
1183005,280,8,215,105,85,48,0,200,8,0
1183025,280,8,216,106,85,48,0,200,8,0
1183065,280,8,218,108,85,48,0,200,8,0
1183085,280,8,220,110,85,48,0,200,8,0
1183085,280,8,222,111,85,48,1,200,8,0
1183085,280,8,210,96,85,48,4,200,8,0
1183095,280,8,213,97,85,48,6,200,8,0
1183095,280,8,215,98,85,48,7,200,8,0
1183125,280,8,217,99,85,48,8,200,8,0
1183145,280,8,210,100,85,48,8,200,0,0
1183165,280,8,213,102,85,48,9,200,0,0
1183175,280,8,214,103,85,48,9,200,0,0
1183175,280,8,215,104,85,48,9,200,0,0
1183195,280,8,217,106,85,48,9,200,0,0
1183205,280,8,218,107,85,48,9,200,0,0
1183215,280,8,219,108,85,48,9,200,0,0
1183216,280,8,220,109,85,48,9,200,0,0
1183225,280,8,221,110,85,48,9,200,0,0
1183235,280,8,222,111,85,48,9,200,0,0
1183255,280,8,208,96,85,48,10,200,0,0
1183265,280,8,48,97,85,48,10,200,96,255
1183265,1021,8,0,0,0,60,32,0,0,128
1183275,280,8,18,98,85,48,11,200,64,255
1183311,280,8,243,99,85,48,11,200,32,255
1183315,280,8,229,100,85,48,12,200,16,255
1183335,280,8,166,101,85,48,13,200,208,254
1183355,280,8,124,105,85,48,15,200,160,254
1183355,280,8,141,106,85,48,15,200,176,254
1183355,280,8,159,107,85,48,16,200,192,254
1183355,1021,8,2,0,0,0,0,0,0,144
1183355,280,8,176,108,85,48,16,200,208,254
1183365,280,8,178,109,85,48,17,200,208,254
1183395,280,8,163,110,85,48,17,200,192,254
1183415,280,8,133,111,85,48,18,200,160,254
1183425,280,8,152,97,85,48,19,200,192,254
1183435,280,8,105,98,85,48,19,200,144,254
1183445,280,8,90,99,85,48,19,200,128,254
1183455,280,8,92,100,85,48,20,200,128,254
1183475,280,8,109,101,85,48,20,200,144,254
1183485,280,8,62,102,85,48,20,200,96,254
1183495,280,8,47,103,85,48,20,200,80,254
1183495,280,8,32,104,85,48,20,200,64,254
1183515,280,8,2,106,85,48,20,200,32,254
1183525,280,8,194,107,85,48,20,200,224,253
1183545,280,8,179,108,85,48,20,200,208,253
1183555,280,8,180,109,85,48,20,200,208,253
1183565,280,8,117,110,85,48,20,200,144,253
1183575,280,8,102,111,85,48,20,200,128,253
1183575,280,8,71,96,85,48,20,200,112,253
1183585,280,8,88,97,85,48,20,200,128,253
1183595,280,8,57,98,85,48,20,200,96,253
1183605,280,8,250,99,85,48,20,200,32,253
1183615,280,8,185,100,85,48,19,200,224,252
1183615,280,8,200,101,85,48,17,200,240,252
1183625,280,8,197,102,85,48,13,200,240,252
1183635,280,8,130,103,85,48,9,200,176,252
1183655,280,8,62,104,85,48,4,200,112,252
1183665,280,8,60,105,85,48,1,200,112,252
1183675,280,8,60,106,85,48,0,200,112,252
1183685,2047,8,9,239,128,64,130,128,0,0
1183685,280,8,61,107,85,48,0,200,112,252
1183695,280,8,46,108,85,48,0,200,96,252
1183705,280,8,63,109,85,48,0,200,112,252
1183715,1016,8,3,8,128,0,25,73,20,33
1183715,280,8,112,110,85,48,0,200,160,252
1183715,280,8,161,111,85,48,0,200,208,252
1183725,280,8,162,96,85,48,0,200,224,252
1183745,280,8,228,97,85,48,0,200,32,253
1183765,280,8,69,98,85,48,0,200,128,253
1183775,280,8,151,100,85,48,0,200,208,253
1183785,280,8,201,101,85,48,0,200,0,254
1183785,280,8,234,102,85,48,0,200,32,254
1183795,280,8,59,103,85,48,0,200,112,254
1183805,1021,8,1,0,6,0,0,8,18,128
1183805,280,8,44,104,85,48,0,200,96,254
1183815,280,8,45,105,85,48,0,200,96,254
1183825,280,8,78,106,85,48,0,200,128,254
1183845,280,8,111,107,85,48,0,200,160,254
1183855,280,8,160,108,85,48,0,200,208,254
1183865,280,8,177,109,85,48,0,200,224,254
1183865,280,8,162,110,85,48,0,200,208,254
1183875,280,8,195,111,85,48,0,200,240,254
1183875,2047,8,2,71,86,109,142,81,207,39
1183885,280,8,164,96,85,48,0,200,224,254
1183905,280,8,133,97,85,48,0,200,192,254
1183915,280,8,199,98,85,48,0,200,0,255
1183915,280,8,232,99,85,48,0,200,32,255
1183925,280,8,249,100,85,48,0,200,48,255
1183945,280,8,234,101,85,48,0,200,32,255
1183965,280,8,235,102,85,48,0,200,32,255
1183975,280,8,61,104,85,48,0,200,112,255
1183985,280,8,62,105,85,48,0,200,112,255
1183985,280,8,63,106,85,48,0,200,112,255
1184005,280,8,112,107,85,48,0,200,160,255
1184016,280,8,129,108,85,48,0,200,176,255
1184035,280,8,130,109,85,48,0,200,176,255
1184045,280,8,131,110,85,48,0,200,176,255
1184045,280,8,116,111,85,48,0,200,160,255
1184085,280,8,200,98,85,48,0,200,0,0
1184105,280,8,10,100,85,48,0,200,64,0
1184105,905,8,0,24,0,224,0,128,159,163
1184125,280,8,13,103,85,48,0,200,64,0
1184135,280,8,254,104,85,48,0,200,48,0
1184155,280,8,255,105,85,48,0,200,48,0
1184155,280,8,0,106,85,48,0,200,48,0
1184165,280,8,33,107,85,48,0,200,80,0
1184175,280,8,50,108,85,48,0,200,96,0
1184185,280,8,51,109,85,48,0,200,96,0
1184195,280,8,68,110,85,48,0,200,112,0
1184215,280,8,215,96,85,48,0,200,16,1
1184225,280,8,232,97,85,48,0,200,32,1
1184235,280,8,9,98,85,48,0,200,64,1
1184245,280,8,58,99,85,48,0,200,112,1
1184245,280,8,139,100,85,48,0,200,192,1
1184255,1021,8,0,0,0,60,32,0,0,128
1184255,280,8,205,101,85,48,0,200,0,2
1184265,280,8,14,102,85,48,0,200,64,2
1184285,280,8,63,103,85,48,0,200,112,2
1184315,280,8,128,104,85,48,0,200,176,2
1184335,905,8,0,24,0,96,0,128,175,51
1184335,1021,8,1,0,6,0,0,8,18,128
1184335,280,8,202,106,85,48,0,200,248,2
1184345,280,8,46,109,85,48,0,200,88,3
1184355,280,8,79,110,85,48,0,200,120,3
1184355,280,8,64,111,85,48,0,200,104,3
1184355,1021,8,2,0,0,0,0,0,0,144
1184365,280,8,49,96,85,48,0,200,104,3
1184375,280,8,50,97,85,48,0,200,104,3
1184395,280,8,51,98,85,48,0,200,104,3
1184405,280,8,52,99,85,48,0,200,104,3
1184415,280,8,246,101,85,48,0,200,40,3
1184425,280,8,247,102,85,48,0,200,40,3
1184445,280,8,24,103,85,48,0,200,72,3
1184455,280,8,41,104,85,48,0,200,88,3
1184475,280,8,27,106,85,48,0,200,72,3
1184485,280,8,28,107,85,48,0,200,72,3
1184495,280,8,29,108,85,48,0,200,72,3
1184495,280,8,254,109,85,48,0,200,40,3
1184505,280,8,15,110,85,48,0,200,56,3
1184515,280,8,32,111,85,48,0,200,72,3
1184535,280,8,33,96,85,48,0,200,88,3
1184555,280,8,18,97,85,48,0,200,72,3
1184565,280,8,35,98,85,48,0,200,88,3
1184575,280,8,36,99,85,48,0,200,88,3
1184575,280,8,5,100,85,48,0,200,56,3
1184585,280,8,230,101,85,48,0,200,24,3
1184595,280,8,215,102,85,48,0,200,8,3
1184605,280,8,8,103,85,48,0,200,56,3
1184625,280,8,25,104,85,48,0,200,72,3
1184635,280,8,250,105,85,48,0,200,40,3
1184635,280,8,219,106,85,48,0,200,8,3
1184665,280,8,238,109,85,48,0,200,24,3
1184685,280,8,239,110,85,48,0,200,24,3
1184705,280,8,176,96,85,48,0,200,232,2
1184715,280,8,113,97,85,48,0,200,168,2
1184715,1016,8,3,8,128,0,25,73,20,33
1184715,280,8,50,98,85,48,0,200,104,2
1184725,280,8,178,99,85,48,0,200,232,1
1184725,280,8,51,100,85,48,0,200,104,1
1184735,280,8,115,101,85,48,0,200,168,0
1184755,280,8,244,102,85,48,0,200,40,0
1184765,1021,8,0,0,0,60,32,0,0,128
1184765,280,8,164,103,85,48,0,200,216,255
1184775,280,8,101,104,85,48,0,200,152,255
1184785,280,8,22,105,85,48,0,200,72,255
1184795,280,8,231,106,85,48,0,200,24,255
1184805,280,8,151,107,85,48,0,200,200,254
1184805,1021,8,1,0,6,0,0,8,18,128
1184805,280,8,104,108,85,48,0,200,152,254
1184816,280,8,89,109,85,48,0,200,136,254
1184816,280,8,90,110,85,48,0,200,136,254
1184835,280,8,27,111,85,48,0,200,72,254
1184865,280,8,13,97,85,48,0,200,72,254
1184865,1021,8,2,0,0,0,0,0,0,144
1184875,280,8,254,98,85,48,0,200,56,254
1184895,280,8,0,100,85,48,0,200,56,254
1184915,280,8,49,101,85,48,0,200,104,254
1184925,280,8,114,102,85,48,0,200,168,254
1184925,280,8,147,103,85,48,0,200,200,254
1184925,280,8,245,104,85,48,0,200,40,255
1184935,280,8,70,105,85,48,0,200,120,255
1184945,280,8,119,106,85,48,0,200,168,255
1184975,280,8,217,107,85,48,0,200,8,0
1184985,280,8,10,108,85,48,0,200,56,0
1184995,2047,8,4,153,22,28,106,170,188,16
1185015,280,8,141,111,85,48,0,200,184,0
1185015,280,8,110,96,85,48,0,200,168,0
1185025,280,8,143,97,85,48,0,200,200,0
1185025,280,8,209,98,85,48,0,200,8,1
1185035,280,8,193,99,85,48,0,200,248,0
1185055,280,8,194,100,85,48,0,200,248,0
1185075,280,8,212,101,85,48,0,200,8,1
1185085,280,8,229,102,85,48,0,200,24,1
1185085,2047,8,5,18,32,161,64,4,128,82
1185085,280,8,214,103,85,48,0,200,8,1
1185095,280,8,215,104,85,48,0,200,8,1
1185095,280,8,199,105,85,48,0,200,248,0
1185105,280,8,136,106,85,48,0,200,184,0
1185125,280,8,217,107,85,48,0,200,8,0
1185135,280,8,218,108,85,48,0,200,8,0
1185155,280,8,220,110,85,48,0,200,8,0
1185165,280,8,221,111,85,48,0,200,8,0
1185175,280,8,206,96,85,48,0,200,8,0
1185185,280,8,207,97,85,48,0,200,8,0
1185195,280,8,16,98,85,112,0,200,8,0
1185205,280,8,96,99,85,112,0,200,88,255
1185215,280,8,81,100,85,112,0,200,72,255
1185225,280,8,98,101,85,112,0,200,88,255
1185225,280,8,67,102,85,112,0,200,56,255
1185245,280,8,84,103,85,112,0,200,72,255
1185245,280,8,69,104,85,112,0,200,56,255
1185265,1021,8,0,0,0,60,32,0,0,128
1185275,280,8,103,106,85,112,0,200,88,255
1185328,280,8,26,108,85,112,0,200,8,0
1185335,280,8,27,109,85,112,0,200,8,0
1185335,1021,8,1,0,6,0,0,8,18,128
1185335,905,8,0,24,0,224,0,128,255,3
1185355,280,8,17,99,85,112,0,200,8,0
1185355,1021,8,2,0,0,0,0,0,0,144
1185375,280,8,18,100,85,112,0,200,8,0
1185385,280,8,19,101,85,112,0,200,8,0
1185405,280,8,21,103,85,112,0,200,8,0
1185415,280,8,22,104,85,112,0,200,8,0
1185425,280,8,200,106,85,112,0,200,184,0
1185445,280,8,185,107,85,112,0,200,168,0
1185455,280,8,26,108,85,112,0,200,8,0
1185475,280,8,28,110,149,48,0,200,8,0
1185485,280,8,29,111,149,48,0,200,8,0
1185505,280,8,15,97,149,48,0,200,8,0
1185515,280,8,16,98,149,48,0,200,8,0
