ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
2254755,280,8,41,102,50,48,0,72,0,0
2254765,280,8,42,103,50,48,0,72,0,0
2254775,280,8,43,104,50,48,0,72,0,0
2254775,280,8,44,105,50,48,0,72,0,0
2254795,280,8,45,106,50,48,0,72,0,0
2254805,280,8,46,107,50,48,0,72,0,0
2254825,280,8,47,108,50,48,0,72,0,0
2254835,280,8,48,109,50,48,0,72,0,0
2254845,280,8,49,110,50,48,0,72,0,0
2254845,280,8,50,111,50,48,0,72,0,0
2254855,280,8,35,96,50,48,0,72,0,0
2254865,280,8,36,97,50,48,0,72,0,0
2254875,280,8,37,98,50,48,0,72,0,0
2254885,280,8,38,99,50,48,0,72,0,0
2254895,280,8,39,100,50,48,0,72,0,0
2254895,280,8,40,101,50,48,0,72,0,0
2254905,280,8,41,102,50,48,0,72,0,0
2254915,280,8,42,103,50,48,0,72,0,0
2254945,280,8,43,104,50,48,0,72,0,0
2254945,280,8,44,105,50,48,0,72,0,0
2254965,280,8,45,106,50,48,0,72,0,0
2254965,280,8,46,107,50,48,0,72,0,0
2254975,280,8,47,108,50,48,0,72,0,0
2254985,280,8,48,109,50,48,0,72,0,0
2254995,280,8,49,110,50,48,0,72,0,0
2255005,280,8,50,111,50,48,0,72,0,0
2255005,1016,8,3,8,128,0,25,73,20,33
2255015,280,8,35,96,50,48,0,72,0,0
2255015,280,8,36,97,50,48,0,72,0,0
2255025,280,8,37,98,50,48,0,72,0,0
2255035,280,8,38,99,50,48,0,72,0,0
2255055,280,8,39,100,50,48,0,72,0,0
2255055,1021,8,0,0,0,60,32,0,0,128
2255055,280,8,40,101,50,48,0,72,0,0
2255065,280,8,41,102,50,48,0,72,0,0
2255065,280,8,42,103,50,48,0,72,0,0
2255085,280,8,43,104,50,48,0,72,0,0
2255095,280,8,44,105,50,48,0,72,0,0
2255095,1021,8,1,0,6,0,0,8,18,128
2255105,280,8,45,106,50,48,0,72,0,0
2255115,280,8,46,107,50,48,0,72,0,0
2255135,280,8,47,108,50,48,0,72,0,0
2255145,280,8,48,109,50,48,0,72,0,0
2255155,2047,8,1,165,78,67,67,165,84,1
2255165,280,8,50,111,50,48,0,72,0,0
2255175,280,8,35,96,50,48,0,72,0,0
2255175,280,8,36,97,50,48,0,72,0,0
2255195,280,8,37,98,50,48,0,72,0,0
2255195,280,8,38,99,50,48,0,72,0,0
2255215,280,8,39,100,50,48,0,72,0,0
2255225,280,8,40,101,50,48,0,72,0,0
2255245,280,8,41,102,50,48,0,72,0,0
2255245,280,8,42,103,50,48,0,72,0,0
2255255,2047,8,2,71,86,109,142,81,207,39
2255255,280,8,43,104,50,48,0,72,0,0
2255255,280,8,44,105,50,48,0,72,0,0
2255265,280,8,45,106,50,48,0,72,0,0
2255275,280,8,46,107,50,48,0,72,0,0
2255295,280,8,47,108,50,48,0,72,0,0
2255305,280,8,48,109,50,48,0,72,0,0
2255315,280,8,49,110,50,48,0,72,0,0
2255315,280,8,50,111,50,48,0,72,0,0
2255325,280,8,35,96,50,48,0,72,0,0
2255335,280,8,36,97,50,48,0,72,0,0
2255365,280,8,37,98,50,48,0,72,0,0
2255375,280,8,38,99,50,48,0,72,0,0
2255385,280,8,39,100,50,48,0,72,0,0
2255385,280,8,40,101,50,48,0,72,0,0
2255395,280,8,41,102,50,48,0,72,0,0
2255395,280,8,42,103,50,48,0,72,0,0
2255405,280,8,43,104,50,48,0,72,0,0
2255415,280,8,44,105,50,48,0,72,0,0
2255435,280,8,45,106,50,48,0,72,0,0
2255435,280,8,46,107,50,48,0,72,0,0
2255465,280,8,48,109,50,48,0,72,0,0
2255485,280,8,49,110,50,48,0,72,0,0
2255485,280,8,50,111,50,48,0,72,0,0
2255495,280,8,35,96,50,48,0,72,0,0
2255495,280,8,36,97,50,48,0,72,0,0
2255505,280,8,37,98,50,48,0,72,0,0
2255525,280,8,38,99,50,48,0,72,0,0
2255545,280,8,39,100,50,48,0,72,0,0
2255545,280,8,40,101,50,48,0,72,0,0
2255545,2047,8,5,18,32,161,64,4,128,82
2255545,1021,8,0,0,0,60,32,0,0,128
2255555,280,8,42,103,50,48,0,72,0,0
2255565,280,8,43,104,50,48,0,72,0,0
2255585,280,8,44,105,50,48,0,72,0,0
2255605,280,8,45,106,50,48,0,72,0,0
2255605,280,8,46,107,50,48,0,72,0,0
2255605,1021,8,1,0,6,0,0,8,18,128
2255605,280,8,47,108,50,48,0,72,0,0
2255615,280,8,48,109,50,48,0,72,0,0
2255625,280,8,49,110,50,48,0,72,0,0
2255635,280,8,50,111,50,48,0,72,0,0
2255655,2047,8,6,88,55,91,7,176,204,200
2255665,280,8,36,97,50,48,0,72,0,0
2255675,280,8,37,98,50,48,0,72,0,0
2255675,280,8,38,99,50,48,0,72,0,0
2255695,280,8,39,100,50,48,0,72,0,0
2255695,280,8,40,101,50,48,0,72,0,0
2255715,280,8,41,102,50,48,0,72,0,0
2255725,280,8,42,103,50,48,0,72,0,0
2255745,280,8,43,104,50,48,0,72,0,0
2255745,280,8,44,105,50,48,0,72,0,0
2255765,280,8,45,106,50,48,0,72,0,0
2255765,280,8,46,107,50,48,0,72,0,0
2255775,280,8,47,108,50,48,0,72,0,0
2255785,280,8,48,109,50,48,0,72,0,0
2255795,280,8,49,110,50,48,0,72,0,0
2255805,280,8,50,111,50,48,0,72,0,0
2255815,280,8,35,96,50,48,0,72,0,0
2255825,280,8,36,97,50,48,0,72,0,0
2255835,280,8,37,98,50,48,0,72,0,0
2255845,280,8,38,99,50,48,0,72,0,0
2255865,280,8,40,101,50,48,0,72,0,0
2255875,280,8,41,102,50,48,0,72,0,0
2255875,280,8,42,103,50,48,0,72,0,0
2255885,280,8,43,104,50,48,0,72,0,0
2255895,280,8,44,105,50,48,0,72,0,0
2255915,280,8,45,106,50,48,0,72,0,0
2255935,280,8,46,107,50,48,0,72,0,0
2255945,280,8,47,108,50,48,0,72,0,0
2255945,280,8,48,109,50,48,0,72,0,0
2255965,280,8,50,111,50,48,0,72,0,0
2255975,280,8,35,96,50,48,0,72,0,0
2255985,280,8,36,97,50,48,0,72,0,0
2255995,280,8,37,98,50,48,0,72,0,0
2256005,1016,8,3,8,128,0,25,73,20,33
2256005,280,8,38,99,50,48,0,72,0,0
