ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1229905,280,8,44,105,50,48,0,72,0,0
1229925,280,8,45,106,50,48,0,72,0,0
1229925,280,8,46,107,50,48,0,72,0,0
1229965,280,8,49,110,50,48,0,72,0,0
1229975,280,8,50,111,50,48,0,72,0,0
1229995,280,8,36,97,50,48,0,72,0,0
1229995,2047,8,1,165,78,67,67,165,84,1
1230005,280,8,38,99,50,48,0,72,0,0
1230025,280,8,40,101,50,48,0,72,0,0
1230075,280,8,44,105,50,48,0,72,0,0
1230085,280,8,45,106,50,48,0,72,0,0
1230085,280,8,46,107,50,48,0,72,0,0
1230095,2047,8,2,71,86,109,142,81,207,39
1230095,1021,8,1,0,6,0,0,8,18,128
1230095,280,8,48,109,50,48,0,72,0,0
1230105,280,8,49,110,50,48,0,72,0,0
1230115,280,8,50,111,50,48,0,72,0,0
1230135,280,8,35,96,50,48,0,72,0,0
1230145,280,8,36,97,50,48,0,72,0,0
1230145,1021,8,2,0,0,0,0,0,0,144
1230165,280,8,38,99,50,48,0,72,0,0
1230185,280,8,39,100,50,48,0,72,0,0
1230185,280,8,40,101,50,48,0,72,0,0
1230185,2047,8,3,51,12,141,225,32,39,52
1230185,280,8,42,103,50,48,0,72,0,0
1230205,280,8,43,104,50,48,0,72,0,0
1230225,280,8,44,105,50,48,0,72,0,0
1230255,280,8,46,107,50,48,0,72,0,0
1230295,280,8,50,111,50,48,0,72,0,0
1230315,280,8,36,97,50,48,0,72,0,0
1230335,280,8,38,99,50,48,0,72,0,0
1230355,280,8,40,101,50,48,0,72,0,0
1230365,280,8,42,103,50,48,0,72,0,0
1230385,280,8,44,105,50,48,0,72,0,0
1230395,2047,8,5,18,32,161,64,4,128,82
1230406,280,8,46,107,50,48,0,72,0,0
1230415,280,8,47,108,50,48,0,72,0,0
1230425,280,8,48,109,50,48,0,72,0,0
1230445,280,8,50,111,50,48,0,72,0,0
1230465,280,8,36,97,50,48,0,72,0,0
1230475,280,8,37,98,50,48,0,72,0,0
1230495,2047,8,6,88,55,91,7,176,204,200
1230505,280,8,40,101,50,48,0,72,0,0
1230525,280,8,42,103,50,48,0,72,0,0
1230555,280,8,44,105,50,48,0,72,0,0
1230565,280,8,45,106,50,48,0,72,0,0
1230595,280,8,48,109,50,48,0,72,0,0
1230605,2047,8,7,38,0,133,32,68,35,112
1230605,1021,8,1,0,6,0,0,8,18,128
1230625,280,8,36,97,50,48,0,72,0,0
1230645,280,8,37,98,50,48,0,72,0,0
1230655,280,8,38,99,50,48,0,72,0,0
1230675,280,8,40,101,50,48,0,72,0,0
1230685,280,8,41,102,50,48,0,72,0,0
1230705,280,8,44,105,50,48,0,72,0,0
1230745,280,8,47,108,50,48,0,72,0,0
1230755,280,8,48,109,50,48,0,72,0,0
1230765,280,8,50,111,50,48,0,72,0,0
1230785,280,8,36,97,50,48,0,72,0,0
1230795,2047,8,9,239,128,64,130,128,0,0
1230805,280,8,38,99,50,48,0,72,0,0
1230815,280,8,39,100,50,48,0,72,0,0
1230825,280,8,40,101,50,48,0,72,0,0
1230855,280,8,42,103,50,48,0,72,0,0
1230865,280,8,43,104,50,48,0,72,0,0
1230865,280,8,44,105,50,48,0,72,0,0
1230885,280,8,46,107,50,48,0,72,0,0
1230895,2047,8,1,165,78,67,67,165,84,1
1230895,280,8,47,108,50,48,0,72,0,0
1230905,280,8,48,109,50,48,0,72,0,0
1230925,280,8,50,111,50,48,0,72,0,0
1230965,280,8,37,98,50,48,0,72,0,0
1230975,280,8,38,99,50,48,0,72,0,0
1230995,2047,8,2,71,86,109,142,81,207,39
1231005,280,8,42,103,50,48,0,72,0,0
1231025,280,8,44,105,50,48,0,72,0,0
1231045,280,8,45,106,50,48,0,72,0,0
1231065,280,8,48,109,50,48,0,72,0,0
1231075,280,8,49,110,50,48,0,72,0,0
1231105,2047,8,3,51,12,141,225,32,39,52
1231105,1021,8,1,0,6,0,0,8,18,128
1231105,280,8,36,97,50,48,0,72,0,0
1231135,280,8,39,100,50,48,0,72,0,0
1231145,1021,8,2,0,0,0,0,0,0,144
1231146,280,8,40,101,50,48,0,72,0,0
1231155,280,8,42,103,50,48,0,72,0,0
1231175,280,8,43,104,50,48,0,72,0,0
1231195,280,8,44,105,50,48,0,72,0,0
1231215,280,8,46,107,50,48,0,72,0,0
1231235,280,8,48,109,50,48,0,72,0,0
1231255,280,8,50,111,50,48,0,72,0,0
1231275,280,8,36,97,50,48,0,72,0,0
1231295,280,8,38,99,50,48,0,72,0,0
1231305,280,8,40,101,50,48,0,72,0,0
1231325,280,8,42,103,50,48,0,72,0,0
1231345,280,8,43,104,50,48,0,72,0,0
1231375,280,8,46,107,50,48,0,72,0,0
1231415,280,8,114,111,50,112,0,72,0,0
1231435,280,8,231,97,149,112,0,104,0,0
1231455,280,8,233,99,149,112,0,104,0,0
1231475,280,8,243,101,149,112,0,104,8,0
1231495,280,8,117,103,149,112,0,232,8,0
