ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1270885,1021,8,2,0,0,0,0,0,0,144
1271375,1021,8,2,0,0,0,0,0,0,144
1271575,280,8,28,110,149,48,0,200,8,0
1271701,280,8,25,107,149,48,0,200,8,0
1271735,280,8,29,111,149,48,0,200,8,0
1271875,1021,8,2,0,0,0,0,0,0,144
1272075,280,8,14,96,149,48,0,200,8,0
1272275,280,8,18,100,149,48,0,200,8,0
1272575,280,8,16,98,149,48,0,200,8,0
1272775,280,8,20,102,149,48,0,200,8,0
1273075,280,8,18,100,149,48,0,200,8,0
1273275,280,8,22,104,149,48,0,200,8,0
1273385,905,8,0,0,0,96,0,128,31,139
1273575,280,8,20,102,149,48,0,200,8,0
1273585,905,8,0,0,0,96,0,128,63,171
1273875,1021,8,2,0,0,0,0,0,0,144
1274075,280,8,22,104,149,48,0,200,8,0
1274135,905,8,0,0,0,224,0,128,111,91
1274275,280,8,26,108,149,48,0,200,8,0
1274375,1021,8,2,0,0,0,0,0,0,144
1274475,280,8,14,96,149,48,0,200,8,0
1274555,280,8,22,104,149,48,0,200,8,0
1274575,280,8,24,106,149,48,0,200,8,0
1274705,280,8,20,102,149,48,0,200,8,0
1274715,280,8,23,105,149,48,0,200,8,0
1274775,280,8,28,110,149,48,0,200,8,0
1274875,1021,8,2,0,0,0,0,0,0,144
1274955,280,8,14,96,149,48,0,200,8,0
1275075,280,8,26,108,149,48,0,200,8,0
1275155,280,8,18,100,149,48,0,200,8,0
1275475,280,8,18,100,149,48,0,200,8,0
1275555,280,8,26,108,149,48,0,200,8,0
1275575,280,8,28,110,149,48,0,200,8,0
1275705,280,8,24,106,149,48,0,200,8,0
1275715,280,8,27,109,149,48,0,200,8,0
1275775,280,8,16,98,149,48,0,200,8,0
1275835,280,8,22,104,149,48,0,200,8,0
1275875,1021,8,2,0,0,0,0,0,0,144
1276075,280,8,14,96,149,48,0,200,8,0
1276255,280,8,16,98,149,48,0,200,8,0
1276275,280,8,18,100,149,48,0,200,8,0
1276285,280,8,20,102,149,48,0,200,8,0
1276363,280,8,26,108,149,48,0,200,8,0
1276395,280,8,15,97,149,48,0,200,8,0
1276455,280,8,20,102,149,48,0,200,8,0
1276465,280,8,22,104,149,48,0,200,8,0
1276515,280,8,26,108,149,48,0,200,8,0
1276555,280,8,14,96,149,48,0,200,8,0
1276575,280,8,16,98,149,48,0,200,8,0
1276655,280,8,24,106,149,48,0,200,8,0
1276725,280,8,16,98,149,48,0,200,8,0
1276745,280,8,18,100,149,48,0,200,8,0
1276775,280,8,20,102,149,48,0,200,8,0
1276835,280,8,26,108,149,48,0,200,8,0
1276845,280,8,28,110,149,48,0,200,8,0
1276865,1021,8,2,0,0,0,0,0,0,144
1276915,280,8,18,100,149,48,0,200,8,0
1276945,280,8,22,104,149,48,0,200,8,0
1276965,280,8,24,106,149,48,0,200,8,0
1277075,280,8,18,100,149,48,0,200,8,0
1277155,280,8,26,108,149,48,0,200,8,0
1277275,280,8,22,104,149,48,0,200,8,0
1277355,280,8,14,96,149,48,0,200,8,0
1277375,1021,8,2,0,0,0,0,0,0,144
1277395,280,8,18,100,149,48,0,200,8,0
1277405,280,8,20,102,149,48,0,200,8,0
1277425,280,8,22,104,149,48,0,200,8,0
1277445,280,8,24,106,149,48,0,200,8,0
1277465,280,8,26,108,149,48,0,200,8,0
1277515,280,8,14,96,149,48,0,200,8,0
1277545,280,8,18,100,149,48,0,200,8,0
1277565,280,8,20,102,149,48,0,200,8,0
1277655,280,8,28,110,149,48,0,200,8,0
1277725,280,8,19,101,149,48,0,200,8,0
1277745,280,8,22,104,149,48,0,200,8,0
1277765,280,8,24,106,149,48,0,200,8,0
1277835,280,8,14,96,149,48,0,200,8,0
1277845,280,8,16,98,149,48,0,200,8,0
1277865,280,8,18,100,149,48,0,200,8,0
1277955,280,8,26,108,149,48,0,200,8,0
1277965,280,8,28,110,149,48,0,200,8,0
1278055,280,8,20,102,149,48,0,200,8,0
1278075,280,8,22,104,149,48,0,200,8,0
1278155,280,8,14,96,149,48,0,200,8,0
1278165,280,8,16,98,149,48,0,200,8,0
1278215,280,8,20,102,149,48,0,200,8,0
1278235,280,8,22,104,149,48,0,200,8,0
1278255,280,8,24,106,149,48,0,200,8,0
1278275,280,8,26,108,149,48,0,200,8,0
1278295,280,8,28,110,149,48,0,200,8,0
1278305,280,8,14,96,149,48,0,200,8,0
1278325,280,8,16,98,149,48,0,200,8,0
1278345,280,8,18,100,149,48,0,200,8,0
1278365,280,8,20,102,149,48,0,200,8,0
1278395,280,8,22,104,149,48,0,200,8,0
1278405,280,8,24,106,149,48,0,200,8,0
1278425,280,8,26,108,149,48,0,200,8,0
1278445,280,8,28,110,149,48,0,200,8,0
1278465,280,8,14,96,149,48,0,200,8,0
1278485,280,8,16,98,149,48,0,200,8,0
1278505,280,8,18,100,149,48,0,200,8,0
1278525,280,8,20,102,149,48,0,200,8,0
1278545,280,8,22,104,149,48,0,200,8,0
1278575,280,8,24,106,149,48,0,200,8,0
1278605,280,8,28,110,149,48,0,200,8,0
1278625,280,8,14,96,149,48,0,200,8,0
1278655,280,8,16,98,149,48,0,200,8,0
1278697,280,8,18,100,149,48,0,200,8,0
1278705,280,8,20,102,149,48,0,200,8,0
1278725,280,8,25,107,149,48,0,200,8,0
1278775,280,8,28,110,149,48,0,200,8,0
1278805,280,8,16,98,149,48,0,200,8,0
1278825,280,8,18,100,149,48,0,200,8,0
1278855,280,8,20,102,149,48,0,200,8,0
1278865,280,8,22,104,149,48,0,200,8,0
